code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3350031780318	https://fr.openfoodfacts.org/produit/3350031780318	openfoodfacts-contributors	1383500866	1583692269	100% Pur jus de pomme Bio Monoprix	100% Pur jus de pomme Bio	1 L	bouteille plastique,bouchon plastique	bouteille-plastique,bouchon-plastique	Monoprix	monoprix	"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus de fruits pur jus, Jus de pomme, Jus de pommes pur jus"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:non-alcoholic-beverages,en:squeezed-juices,en:apple-juices,en:squeezed-apple-juices					Organic,Certified by Ecocert,EU Organic,FR-BIO-01,fr:ab-agriculture-biologique	en:organic,en:eu-organic,en:certified-by-ecocert,en:ab-agriculture-biologique,en:fr-bio-01	EMB 34183A	emb-34183a		nissan-lez-enserune-herault-france	France	Monoprix	France	Jus de pomme**.					200 ml	200		0		0			0			4	c	1	Beverages	Fruit juices	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:squeezed-apple-juices	https://static.openfoodfacts.org/images/products/335/003/178/0318/front_fr.29.400.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/front_fr.29.200.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/front_fr.29.400.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/front_fr.29.200.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/ingredients_fr.30.400.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/ingredients_fr.30.200.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/nutrition_fr.31.400.jpg	https://static.openfoodfacts.org/images/products/335/003/178/0318/nutrition_fr.31.200.jpg		44	184		0	0																																			11	10										0				0	0																																												4								
8886303210238	https://fr.openfoodfacts.org/produit/8886303210238	naudinsylvain	1397588048	1583678828	Lait de coco		200 ml	Brique,Carton,Briquette en carton	brique,carton,briquette-en-carton	Kara	kara	"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Substitut du lait, Boissons végétales, Boissons sans alcool, Laits de coco, Boissons sans sucre ajouté"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:milk-substitute,en:plant-milks,en:non-alcoholic-beverages,en:coconut-milks,en:unsweetened-beverages	Indonésie	indonesie			Kascher	en:kosher					France	Carrefour Market,Magasins U	France, Switzerland	fresh coconut extract (64%), water, thickeners (xanthan gum, guar gum and carrageenan)					200g	200		3	en:e407,en:e412,en:e415	0			0			12	d	4	Beverages	Plant-based milk substitutes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:coconut-milks	https://static.openfoodfacts.org/images/products/888/630/321/0238/front_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/front_fr.10.200.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/front_fr.10.400.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/front_fr.10.200.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/ingredients_fr.52.400.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/ingredients_fr.52.200.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/nutrition_fr.12.400.jpg	https://static.openfoodfacts.org/images/products/888/630/321/0238/nutrition_fr.12.200.jpg		176	736		18	16																																			1.7	1.6									0	1.7				0.0225	0.009																																												12								
20245900	https://fr.openfoodfacts.org/produit/20245900	sebleouf	1378819244	1583670856	Jus d'orange	"Jus d'orange à teneur en fruit 100%"	1 L	"fr:Bouteille, fr:Triman, fr:Pensez au tri!, fr:Point vert, fr:Bouteille plastique et son bouchon à recycler, nl:01, bouteille"	fr-bouteille,fr-triman,fr-pensez-au-tri,fr-point-vert,fr-bouteille-plastique-et-son-bouchon-a-recycler,nl-01,bouteille	Solevita	solevita	"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus d'orange, Jus de fruits pur jus, Jus d'orange pur jus, en:fruit-juices-and-nectars"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:non-alcoholic-beverages,en:orange-juices,en:squeezed-juices,en:squeezed-orange-juices,en:fruit-juices-and-nectars	Espagne	espagne			Bajo o sin azúcar,Sin azúcares añadidos,Sin colorantes,Sin conservantes	en:low-or-no-sugar,en:no-added-sugar,en:no-colorings,en:no-preservatives					Tarare,France	Lidl	Francia,Suiza	"Jus d'orange à teneur en fruit 100%."								0		0			0			4	c		Beverages	Fruit juices	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:squeezed-orange-juices	https://static.openfoodfacts.org/images/products/20245900/front_fr.148.400.jpg	https://static.openfoodfacts.org/images/products/20245900/front_fr.148.200.jpg	https://static.openfoodfacts.org/images/products/20245900/front_fr.148.400.jpg	https://static.openfoodfacts.org/images/products/20245900/front_fr.148.200.jpg	https://static.openfoodfacts.org/images/products/20245900/ingredients_fr.110.400.jpg	https://static.openfoodfacts.org/images/products/20245900/ingredients_fr.110.200.jpg	https://static.openfoodfacts.org/images/products/20245900/nutrition_fr.150.400.jpg	https://static.openfoodfacts.org/images/products/20245900/nutrition_fr.150.200.jpg		45	188		0.5	0.1																																			9.3	9.3										0.7				0.02	0.008							0.02																																					4								
0080432402979	https://fr.openfoodfacts.org/produit/0080432402979	sebleouf	1520503252	1583669821	Glen Grant Ob 10yo 40%alc.		70 cl	Bouteille,Verre,Boite,Carton	bouteille,verre,boite,carton	Glen Grant	glen-grant	Boissons, Boissons alcoolisées, Alcools forts, Eaux-de-vie, Whiskys, Whisky écossais	en:beverages,en:alcoholic-beverages,en:hard-liquors,fr:eaux-de-vie,en:whisky,en:scotch-whisky			Scotland	scotland	Point Vert	en:green-dot					France		France																					Alcoholic beverages	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded	en:scotch-whisky	https://static.openfoodfacts.org/images/products/008/043/240/2979/front_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/008/043/240/2979/front_fr.7.200.jpg	https://static.openfoodfacts.org/images/products/008/043/240/2979/front_fr.7.400.jpg	https://static.openfoodfacts.org/images/products/008/043/240/2979/front_fr.7.200.jpg			https://static.openfoodfacts.org/images/products/008/043/240/2979/nutrition_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/008/043/240/2979/nutrition_fr.8.200.jpg																																																										40																																																			
5038862162500	https://fr.openfoodfacts.org/produit/5038862162500	dentdelion	1349082556	1583662334	Jus d'orange pressée sans pulpe	Pur jus d'orange sans pulpe	900 ml	Bouteille,Plastique,frais,Flash-Pasteurisé	bouteille,plastique,frais,flash-pasteurise	Innocent	innocent	"Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Frais,Boissons aux fruits,Jus et nectars,Jus de fruits,Boissons sans alcool,Jus d'orange,Jus de fruits pur jus,Jus d'orange pur jus,en:fruit-juices-and-nectars"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fresh-foods,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:non-alcoholic-beverages,en:orange-juices,en:squeezed-juices,en:squeezed-orange-juices,en:fruit-juices-and-nectars					Peu ou pas de sucre,FSC,FSC-C095196,FSC Mix,Sans sucre ajouté	en:low-or-no-sugar,en:fsc,en:fsc-c095196,en:fsc-mix,en:no-added-sugar					Paris,Courrières,France,Carvin	Franprix,Cora,Intermarché,Super U,Magasins U	France,Suisse	11 oranges pressées (100%).					150 ml	150		0		0			0			2	c		Beverages	Fruit juices	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:squeezed-orange-juices	https://static.openfoodfacts.org/images/products/503/886/216/2500/front_fr.71.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/front_fr.71.200.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/front_fr.71.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/front_fr.71.200.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/ingredients_fr.73.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/ingredients_fr.73.200.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/nutrition_fr.32.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/2500/nutrition_fr.32.200.jpg	155	36	155		0.13	0.1																																			7.8	7.8									0.65	0.7				0.01	0.004							0.022					2.7e-05							0.172																									2								
5038862166508	https://fr.openfoodfacts.org/produit/5038862166508	miles67off	1386939900	1583662298	Ananas & fruit de la passion	Pur jus de 5 fruits pressés	900 ml	bouteille plastique,bouchon plastique,frais,Bouteille en plastique	bouteille-plastique,bouchon-plastique,frais,bouteille-en-plastique	Innocent	innocent	"Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Frais,Boissons aux fruits,Jus et nectars,Jus de fruits,Boissons sans alcool,Jus multifruits,Jus de fruits pur jus,Jus multifruits pur jus,en:fruit-juices-and-nectars"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fresh-foods,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:non-alcoholic-beverages,en:multifruit-juices,en:squeezed-juices,en:squeezed-multifruit-juices,en:fruit-juices-and-nectars					FSC,FSC-C095196,FSC Mix,Point Vert	en:fsc,en:fsc-c095196,en:fsc-mix,en:green-dot					France,Paris,Orléans	Carrefour,Franprix,Leclerc,Magasins U	France,Suisse	"4 pommes pressées (50%), 4 oranges pressées (35%), une tranche d’ananas pressée (12%), un morceau de mangue mixé (2%), un soupçon de fruit de la passion pressé (1%), un zeste de vitamine C."					200 ml	200		0		0			0			3	c		Beverages	Fruit juices	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:squeezed-multifruit-juices	https://static.openfoodfacts.org/images/products/503/886/216/6508/front_fr.79.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/front_fr.79.200.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/front_fr.79.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/front_fr.79.200.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/ingredients_fr.55.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/ingredients_fr.55.200.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/nutrition_fr.80.400.jpg	https://static.openfoodfacts.org/images/products/503/886/216/6508/nutrition_fr.80.200.jpg	187	44	187		0	0																																			10	8.9									0.4	0.4				0	0							0.024																																					3								
3502110009036	https://fr.openfoodfacts.org/produit/3502110009036	segundo	1495908662	1583662142	7 up (seven up)		1,5 L	Bouteille plastique, bouteille	bouteille-plastique,bouteille	7up	7up	"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Boissons édulcorées, Boissons gazeuses, Boissons sans alcool, Sodas, Sodas aux fruits, Sodas au citron, Boissons avec sucre ajouté"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:non-alcoholic-beverages,en:lemon-soft-drinks,en:sweetened-beverages												Magasins U	France,Suisse	eau gazéifiée, sucre, acidifiants (acide citrique, acide malique), arômes naturels (dont extraits de citron et de citron vert), correcteur d'acidité (citrate de sodium), édulcorant (glycosides de stéviol).					250g	250		4	en:e296,en:e330,en:e331,en:e960	0			0			10	e	4	Beverages	Artificially sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:lemon-soft-drinks	https://static.openfoodfacts.org/images/products/350/211/000/9036/front_fr.41.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/front_fr.41.200.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/front_fr.41.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/front_fr.41.200.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/ingredients_fr.43.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/ingredients_fr.43.200.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/nutrition_fr.30.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9036/nutrition_fr.30.200.jpg		29	121		0	0																																			7	7										0				0.03	0.012																																												10								
3068320105192	https://fr.openfoodfacts.org/produit/3068320105192	date-limite-app	1426781417	1583603765	Badoit Citron	"Boisson pétillante à l'eau minérale naturelle, à l'arôme naturel de citron"	1 L	Bouteille,Plastique,Recyclable	bouteille,plastique,recyclable	Badoit	badoit	Boissons, Eaux, Boissons gazeuses, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux gazeuses, Eaux aromatisées, Boissons sans sucre ajouté, Eaux-gazeuses-aromatisees, Eaux-minerales-aromatisees	en:beverages,en:carbonated-drinks,en:waters,en:spring-waters,en:mineral-waters,en:non-alcoholic-beverages,en:carbonated-waters,en:flavored-waters,en:flavored-sparkling-waters,en:unsweetened-beverages,fr:eaux-minerales-aromatisees	Source Saint Galmier,France	source-saint-galmier,france	France	france	Peu ou pas de sucre, Point Vert, Sans conservateurs, Sans sucre, Sans édulcorants	en:low-or-no-sugar,en:green-dot,en:no-preservatives,en:no-sugar,en:without-sweeteners					Rennes,France	Carrefour,Magasins U	France	Eau minérale naturelle gazéifiée Badoit 99.9%, arôme naturel de citron.					250g	250		0		0			0			0	b	4	Beverages	Waters and flavored waters	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:flavored-sparkling-waters	https://static.openfoodfacts.org/images/products/306/832/010/5192/front_fr.51.400.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/front_fr.51.200.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/front_fr.51.400.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/front_fr.51.200.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/ingredients_fr.53.400.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/ingredients_fr.53.200.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/nutrition_fr.18.400.jpg	https://static.openfoodfacts.org/images/products/306/832/010/5192/nutrition_fr.18.200.jpg		0	0		0	0																																			0	0									0	0				0.11	0.044																																												0								
3502110009449	https://fr.openfoodfacts.org/produit/3502110009449	openfoodfacts-contributors	1495605960	1583599469	Pur jus d'orange sans pulpe		1 l	bouteille,plastique,conserve	bouteille,plastique,conserve	Tropicana	tropicana	"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, en:fruit-juices-and-nectars, Jus de fruits, Boissons sans alcool, Jus d'orange, Jus de fruits pur jus, Jus d'orange pur jus, Jus-d-orange-sans-pulpe"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:non-alcoholic-beverages,en:orange-juices,en:squeezed-juices,en:squeezed-orange-juices,en:fruit-juices-and-nectars,fr:jus-d-orange-sans-pulpe					Green Dot, No added sugar, Pure juice, fr:Tidy man, en:no-preservatives	en:green-dot,en:no-added-sugar,en:no-preservatives,en:pure-juice,fr:tidy-man						Magasins U	France, en:switzerland, en:luxembourg	Jus d'orange.					200g	200		0		0			0			2	c	1	Beverages	Fruit juices	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	fr:jus-d-orange-sans-pulpe	https://static.openfoodfacts.org/images/products/350/211/000/9449/front_fr.56.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/front_fr.56.200.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/front_fr.56.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/front_fr.56.200.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/ingredients_fr.58.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/ingredients_fr.58.200.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/nutrition_fr.57.400.jpg	https://static.openfoodfacts.org/images/products/350/211/000/9449/nutrition_fr.57.200.jpg		43	180		0	0																																			8.9	8.9									0.6	0.8				0	0							0.033																													100								2								
3770001910000   https://fr.openfoodfacts.org/produit/3770001910000  aleene	1472996788	1583594906	Bee Zen Pêche & Miel bio	Tisane glacée et pétillante bio, parfum Pêche & Miel	250 ml	Canette alu,Point vert	canette-alu,point-vert	Bee Zen	bee-zen	Boissons,Boissons gazeuses,Boissons édulcorées,Boissons sans alcool	en:beverages,en:carbonated-drinks,en:artificially-sweetened-beverages,en:non-alcoholic-beverages					Bio,Bio européen,AB Agriculture Biologique	en:organic,en:eu-organic,en:ab-agriculture-biologique							Belgique,Brésil,République tchèque,France,Allemagne,Hong Kong,Italie,Koweït,Pays-Bas,Qatar,Suisse,Royaume-Uni	Eau gazéifiée, sucre de canne bio, miel bio (0,8%), acide: acide citrique, extrait de thé vert, arômes naturels, sucre caramélisé bio, extrait de camomille, extrait de baobab bio					250 ml	250		1	en:e330	0			0			8	d	4	Beverages	Artificially sweetened beverages	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:artificially-sweetened-beverages	https://static.openfoodfacts.org/images/products/377/000/191/0000/front_fr.43.400.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/front_fr.43.200.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/front_fr.43.400.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/front_fr.43.200.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/ingredients_fr.34.400.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/ingredients_fr.34.200.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/nutrition_fr.12.400.jpg	https://static.openfoodfacts.org/images/products/377/000/191/0000/nutrition_fr.12.200.jpg		28	117		0	0																																			6	6										0				0	0										0.008	0.0014			1e-06		0.002																												8								
